Date,Close/Last,Volume,Open,High,Low
06/14/2021,$61.2583,4716500,$60.8866,$61.6375,$60.7733
06/11/2021,$60.9733,4804970,$60.4083,$61.2416,$60.4083
06/10/2021,$60.4083,4843802,$58.67,$60.4383,$58.50
06/09/2021,$58.7316,2443987,$59.275,$59.2833,$58.72
06/08/2021,$58.89,4294970,$59.8233,$60.4016,$58.6016
06/07/2021,$59.395,3096637,$59.3333,$59.9093,$59.0833
06/04/2021,$59.5583,3388069,$58.855,$59.5866,$58.7037
06/03/2021,$58.5216,6225848,$59.30,$59.4166,$58.4933
06/02/2021,$59.6116,4709426,$59.99,$60.5466,$59.3083
06/01/2021,$60.0583,4423256,$61.0083,$61.25,$59.76
05/28/2021,$60.5416,8257965,$61.2866,$61.8166,$60.275
05/27/2021,$61.21,6506163,$61.295,$61.80,$60.0475
05/26/2021,$61.295,6183368,$61.315,$62.3816,$61.075
05/25/2021,$60.8466,6524007,$61.3933,$61.6133,$60.3866
05/24/2021,$60.7533,7980195,$60.1583,$61.6666,$59.845
05/21/2021,$60.4083,22633563,$60.315,$61.0716,$59.3516
05/20/2021,$57.0983,12509117,$56.24,$57.45,$56.1883
05/19/2021,$55.93,6582213,$55.90,$56.39,$55.3033
05/18/2021,$56.6816,6826395,$56.8416,$57.725,$56.57
05/17/2021,$55.9666,4873094,$56.3133,$56.7566,$55.2616
05/14/2021,$56.1366,6426723,$54.69,$56.46,$54.69
05/13/2021,$53.98,8330961,$55.965,$56.1841,$53.7041
05/12/2021,$55.8483,5297018,$56.2983,$56.6966,$55.4983
05/11/2021,$57.2383,4353458,$55.46,$57.5533,$55.46
05/10/2021,$56.89,3654169,$57.2133,$57.6666,$56.4933
05/07/2021,$57.0566,3763256,$57.2183,$57.4083,$56.6716
05/06/2021,$56.24,4508492,$56.6883,$56.6883,$55.4516
05/05/2021,$56.8633,2211667,$57.9283,$58.175,$56.535
05/04/2021,$57.60,5207630,$57.7383,$57.9258,$56.506
05/03/2021,$58.18,3998768,$59.2616,$59.3033,$58.175
04/30/2021,$58.8983,3657973,$58.7316,$59.9216,$58.7316
04/29/2021,$59.1916,3246415,$60.1983,$60.1983,$58.6666
04/28/2021,$60.0266,3785906,$59.9333,$60.50,$59.1716
04/27/2021,$59.7466,4932422,$60.18,$60.283,$59.2133
04/26/2021,$60.245,3674005,$60.1483,$60.5466,$59.575
04/23/2021,$59.7366,4691888,$59.2516,$59.9366,$58.8583
04/22/2021,$58.8016,6290019,$59.1666,$59.6666,$58.5283
04/21/2021,$59.435,7360905,$60.00,$60.1233,$58.9716
04/20/2021,$60.00,3940532,$61.16,$61.4794,$59.6316
04/19/2021,$61.16,5043848,$60.8333,$61.435,$60.2916
04/16/2021,$61.1083,4842764,$61.68,$61.8966,$60.8675
04/15/2021,$61.73,6396933,$60.9666,$62.1683,$60.8635
04/14/2021,$60.1633,5244908,$60.41,$61.125,$59.8933
04/13/2021,$59.9833,4504916,$59.4366,$60.865,$59.4366
04/12/2021,$59.2266,7714005,$57.9816,$60.1883,$57.9816
04/09/2021,$58.2516,5487110,$57.285,$58.2866,$56.79
04/08/2021,$57.2083,5916872,$57.0816,$57.9616,$56.8658
04/07/2021,$56.4283,5571536,$56.03,$56.715,$55.6987
04/06/2021,$56.23,7903401,$54.9766,$56.8833,$54.765
04/05/2021,$55.1716,5005076,$55.50,$56.0075,$54.9883
04/01/2021,$54.675,5973794,$54.50,$55.4608,$54.3083
03/31/2021,$53.6766,7327449,$53.5416,$54.2383,$53.2266
03/30/2021,$53.0016,4550144,$52.9766,$53.455,$52.2116
03/29/2021,$53.3716,4660406,$53.1666,$53.9883,$52.6166
03/26/2021,$53.285,7833669,$53.8333,$54.0666,$51.9533
03/25/2021,$53.9133,7372239,$52.9616,$54.2398,$52.8575
03/24/2021,$53.50,6096134,$54.1666,$54.4916,$53.4283
03/23/2021,$53.9333,6999435,$53.9833,$54.5466,$53.80
03/22/2021,$53.9066,9270610,$52.8333,$54.4366,$52.7983
03/19/2021,$52.8083,11835059,$52.925,$53.1183,$51.9266
03/18/2021,$52.925,13005011,$54.5006,$55.00,$52.705
03/17/2021,$56.1533,7272177,$56.215,$57.00,$55.1833
03/16/2021,$56.6666,3483877,$58.065,$58.4533,$56.225
03/15/2021,$57.3816,3552925,$57.0033,$57.3866,$56.115
03/12/2021,$57.0883,4193450,$56.6083,$57.1666,$56.3516
03/11/2021,$57.395,5014352,$57.00,$57.725,$56.5883
03/10/2021,$55.7816,9370174,$58.11,$58.8733,$55.68
03/09/2021,$57.07,8260587,$56.9066,$57.56,$56.505
03/08/2021,$55.2466,7586589,$56.3333,$57.44,$55.1266
03/05/2021,$55.7883,8324307,$56.3333,$56.4375,$53.488
03/04/2021,$55.94,7279185,$56.675,$57.50,$55.1416
03/03/2021,$57.2933,7876131,$58.9116,$59.135,$57.0783
03/02/2021,$59.11,8070411,$61.2516,$61.455,$59.0833
03/01/2021,$61.2316,5645228,$60.71,$61.3783,$60.3333
02/26/2021,$59.7183,10263976,$60.4716,$60.625,$58.8641
02/25/2021,$60.0066,8322999,$61.6666,$61.9883,$58.9291
02/24/2021,$61.6016,11208892,$62.50,$63.0333,$60.9166
02/23/2021,$62.9766,17139163,$63.00,$64.165,$58.6666
02/22/2021,$64.0583,15612618,$65.4016,$65.4745,$63.4783
02/19/2021,$66.15,9182620,$66.0066,$67.1666,$65.6683
02/18/2021,$65.0883,5152790,$65.1716,$65.7441,$64.4883
02/17/2021,$65.9033,5247734,$65.0833,$65.9175,$64.51
02/16/2021,$65.54,4558724,$66.3333,$66.6267,$64.585
