Date,Close/Last,Volume,Open,High,Low
03/02/2022,$65.983,22121180,$67.135,$67.798,$63.541
03/01/2022,$67.344,16118060,$68.895,$71.1175,$67.061
02/28/2022,$69.426,17032360,$68.976,$70.407,$66.749
02/25/2022,$67.695,22753980,$67.728,$68.465,$64.296
02/24/2022,$66.398,35520210,$58.503,$66.879,$58.503
02/23/2022,$62.661,24328510,$63.48,$65.99,$62.502
02/22/2022,$62.616,31564570,$63.203,$66.199,$62.427
02/18/2022,$65.688,39739010,$66.278,$68.348,$64.042
02/17/2022,$66.00,70505490,$72.712,$73.224,$65.50
02/16/2022,$74.685,99249980,$79.985,$80.00,$72.00
02/15/2022,$88.95,17269330,$86.443,$89.1348,$84.314
02/14/2022,$84.745,15798700,$84.637,$87.113,$83.551
02/11/2022,$85.40,13524580,$89.215,$90.599,$83.501
02/10/2022,$89.334,19135480,$90.00,$93.254,$88.50
02/09/2022,$92.497,14854530,$90.519,$92.563,$88.401
02/08/2022,$87.80,11550470,$85.90,$88.05,$85.20
02/07/2022,$86.689,16539630,$88.156,$90.80,$85.5489
02/04/2022,$87.60,29425070,$83.00,$89.2622,$81.0865
02/03/2022,$80.944,30259900,$83.00,$85.7422,$80.60
02/02/2022,$88.588,31831000,$98.35,$98.511,$86.493
02/01/2022,$98.42,17520790,$98.43,$98.85,$93.7851
01/31/2022,$96.424,25004010,$88.19,$96.821,$87.50
01/28/2022,$87.223,26570070,$82.503,$87.434,$79.2515
01/27/2022,$81.576,21613510,$90.469,$90.665,$81.312
01/26/2022,$86.892,33160270,$93.701,$95.00,$85.23
01/25/2022,$89.239,46759410,$91.00,$93.899,$84.10
01/24/2022,$93.849,77623920,$83.40,$96.399,$78.00
01/21/2022,$88.212,53351240,$100.469,$101.364,$86.875
01/20/2022,$102.395,14176350,$104.997,$108.444,$102.267
01/19/2022,$103.095,19601390,$106.821,$112.249,$103.0245
01/18/2022,$105.466,21897390,$108.721,$108.834,$102.906
01/14/2022,$110.291,22203430,$105.30,$111.198,$104.8601
01/13/2022,$106.436,22801040,$117.00,$117.805,$106.15
01/12/2022,$116.876,11328940,$118.516,$119.12,$115.70
01/11/2022,$115.731,12626400,$109.70,$116.598,$108.601
01/10/2022,$113.117,21125910,$111.701,$113.323,$106.402
01/07/2022,$114.448,12887130,$116.90,$118.237,$112.14
01/06/2022,$116.893,18043480,$117.244,$119.776,$113.858
01/05/2022,$119.001,21151630,$121.35,$122.879,$117.375
01/04/2022,$122.186,29442880,$135.65,$137.00,$121.1245
01/03/2022,$136.314,7161200,$139.19,$139.367,$133.4185
12/31/2021,$137.739,4712610,$139.991,$140.3652,$137.704
12/30/2021,$139.824,5687810,$138.809,$143.288,$138.809
12/29/2021,$139.208,6410150,$136.899,$140.0789,$135.137
12/28/2021,$137.562,5844980,$140.818,$141.499,$136.417
12/27/2021,$140.059,7213840,$144.361,$145.70,$139.615
12/23/2021,$143.933,10960170,$139.00,$144.361,$138.083
12/22/2021,$138.563,8331250,$135.949,$139.235,$135.136
12/21/2021,$137.011,12591610,$131.252,$137.129,$130.4705
12/20/2021,$128.217,10737910,$130.74,$132.00,$127.1889
12/17/2021,$132.34,12093340,$130.537,$135.207,$128.001
12/16/2021,$132.688,14065470,$142.80,$142.80,$129.7915
12/15/2021,$136.808,15768260,$135.20,$137.642,$128.894
12/14/2021,$135.428,12079380,$136.80,$140.255,$132.90
12/13/2021,$139.715,12730210,$144.76,$147.039,$137.101
12/10/2021,$146.158,7942860,$150.849,$153.15,$144.2053
12/09/2021,$149.495,7960960,$151.50,$153.398,$148.212
12/08/2021,$152.029,7769230,$150.86,$153.494,$149.20
12/07/2021,$152.051,14648730,$147.141,$153.599,$146.6621
12/06/2021,$142.812,12082540,$137.312,$143.086,$134.00
12/03/2021,$141.00,14151750,$146.598,$146.7545,$135.703
12/02/2021,$144.715,11222810,$145.749,$148.483,$143.10
12/01/2021,$145.971,14531090,$154.66,$155.80,$145.798
11/30/2021,$152.179,16144250,$160.05,$162.9938,$151.664
