ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001256484-24-000032	187506	0001463879	028-13513	000113606	801-60358	KBI Global Investors (North America) Ltd
0001256484-24-000032	187507	0001348883	028-11611	000137028	801-64710	Clearbridge Investments, LLC
0001256484-24-000032	187508	0001352662	028-11599	000106220	801-15028	Grantham, Mayo, Van Otterloo & Co. LLC
0001256484-24-000032	187509	0001130787	028-06213	000107306	801-53294	EAGLE GLOBAL ADVISORS LLC
0001256484-24-000032	187510	0001375534	028-12114	000164371	802-77005	GENERATION INVESTMENT MANAGEMENT LLP
0001256484-24-000032	187511	0001462160	028-13564	000296868	801-113352	Mitsubishi UFJ Trust & Banking Corp
0001256484-24-000032	187512	0001600145	028-15895	000116632	801-61884	Van Hulzen Asset Management, LLC
0001256484-24-000032	187513	0001027796	028-03791	000106847	801-50838	PZENA INVESTMENT MANAGEMENT LLC
0001256484-24-000032	187514	0001088875	028-04825	000304197	802-116796	BAILLIE GIFFORD & CO
0001256484-24-000032	187515	0001315868	028-11129	000114317	801-60503	Burgundy Asset Management Ltd.
0001256484-24-000032	187516	0001465109	028-13573	000002908	801-3908	Neuberger Berman Group LLC
0001256484-24-000032	187517	0001644956	028-17022	000173961	801-80640	WILLIAM BLAIR INVESTMENT MANAGEMENT, LLC
0001256484-24-000032	187518	0000938206	028-04207	000105757	801-18439	DRIEHAUS CAPITAL MANAGEMENT LLC
0001256484-24-000032	187519	0001542266	028-14862	000150632	801-70383	Granite Investment Partners, LLC
0001256484-24-000032	187520	0001112325	028-05655	000108074	801-57432	RIVERBRIDGE PARTNERS LLC
0001256484-24-000032	187521	0000829108	028-02204	000110783	801-27797	Brandywine Global Investment Management, LLC
0001256484-24-000032	187522	0001424467	028-12654	000130023	801-62639	Lisanti Capital Growth, LLC
0001256484-24-000032	187523	0000945631	028-04988	000106422	801-48883	EAGLE CAPITAL MANAGEMENT LLC
0001256484-24-000032	187524	0000874791	028-02903	000107003	801-8825	CAMPBELL NEWMAN ASSET MANAGEMENT INC
0001256484-24-000032	187525	0001520601	028-14467	000108278	801-42015	AFFINITY INVESTMENT ADVISORS, LLC
0001256484-24-000032	187526	0000884414	028-03059	000107022	801-28257	JACOBS LEVY EQUITY MANAGEMENT, INC
0001256484-24-000032	187527	0001556785	028-15045	000151190	801-70739	Vulcan Value Partners, LLC
0001256484-24-000032	187528	0000932859	028-04558	000114310	801-60485	PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001256484-24-000032	187529	0000052388	028-01091	000105778	801-8174	AMERICAN CENTURY INVESTMENT MANAGEMENT INC
0001256484-24-000032	187530	0001513287	028-14421	000175193	801-108196	Colonial First State Investments Ltd
0001256484-24-000032	187531	0001164833	028-10068	000114649	801-60512	HOTCHKIS & WILEY CAPITAL MANAGEMENT LLC
0001256484-24-000032	187532	0001730467	028-18460	000153956	801-78911	CLIFFORD CAPITAL PARTNERS LLC
0001256484-24-000032	187533	0001857666	028-21408	000312837	801-121267	Capital Group Private Client Services, Inc.
0001256484-24-000032	187534	0001350585	028-11563	000111335	801-60111	Coho Partners, Ltd.
