ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001214659-24-019212	0	81	357218713	
0000935836-24-000712	0	1	0	
0000950123-24-011909	1	2	724407741	N
0001437749-24-035378	0	379	363949075	N
0000950123-24-011906	3	196	6172628459	N
0002010327-24-000005	0	56	143112831	N
0001493152-24-046055	0	81	91687982	
0001033505-24-000007	0	287	1782855455	N
0001104659-24-119240	0	61	3058214916	
0001420506-24-002574	0	12	315472882	N
0000950123-24-011903	0	2	444396176	N
0001843010-24-000004	0	409	1121932253	N
0000950123-24-011901	1	0	0	N
0001104659-24-119235	0	128	3020333362	
0002010145-24-000005	0	28	74651063	N
0000950123-24-011898	1	0	0	N
0001885946-24-000004	0	25	64629360	N
0000950123-24-011897	1	1	97865623	N
0000950123-24-011896	1	1	230928255	N
0001076809-24-000123	0	142	1715780	
0001963764-24-000008	0	20	301676195	N
0000950123-24-011893	1	3	156368426	N
0001228242-24-000013	0	726	16664198836	N
0000947871-24-000903	0	229	5128708760	
0001906640-24-000005	0	101	132077100	N
0001172661-24-005312	0	189	262410301	
0000950123-24-011890	1	4	773634497	N
0000814133-24-000115	0	237	20403244849	N
0001013594-24-000980	1	15	1425217337	
0002005660-24-000004	0	314	157826054	N
0001535061-24-000004	0	813	2274002193	
0001907054-24-000005	0	165	208378083	N
0001062993-24-019170	0	48	97431237	N
0001104659-24-119213	0	299	1684351396	
0000950123-24-011887	0	2	23111296	N
0001839882-24-039298	0	34	484565685	
0001104659-24-119211	0	75	1764757717	
0001013594-24-000978	0	1	0	
0001214659-24-019201	0	285	394483538	
0001904326-24-000005	0	179	153783146	N
0000947871-24-000900	0	10	448586359	
0001172661-24-005304	0	15	4061692789	
0001398344-24-020912	0	46	50681533	
0000950123-24-011885	0	15	1739318271	N
0001330463-24-000007	0	256	600609974	N
0000947871-24-000899	0	4	2371577	
0000902664-24-006635	1	118	1570107359	
0001840735-24-000004	1	2	47558331	N
0001104659-24-119197	2	15	640148772	
0001140361-24-046962	0	496	50294463883	
0001892688-24-000151	0	39	621430004	N
0001420506-24-002572	0	13	238735300	N
0001632118-24-000005	0	35	219170346	N
0001172661-24-005302	0	215	838181453	
0001666905-24-000010	0	516	3561575354	
0001965542-24-000005	0	25	188350524	N
0001012975-24-000491	4	42	4219010674	N
0001493152-24-046005	0	29	444673360	
0001754960-24-000576	0	18	113598134	N
0001578242-24-000005	0	214	4521343384	N
0001904677-24-000005	0	81	110288270	N
0001085146-24-005976	0	11	1162565800	N
0000947871-24-000897	4	60	10554022825	
0001398344-24-020903	1	280	574770619	
0001892688-24-000150	0	47	2317255441	N
0001693745-24-000004	0	13	352611129	N
0001085146-24-005974	0	22	166870674	N
0001818557-24-000007	0	83	206293584	N
0001104659-24-119089	0	23	197118615	
0001591986-24-000007	0	14	131875058	N
0001787893-24-000008	0	26	450990822	N
0001767040-24-000004	0	92	169314918	N
0001085146-24-005973	0	0	0	N
0001104659-24-119083	1	1	22020	
0001104186-24-000007	0	72	2050582333	N
0001656150-24-000005	0	51	165860501	N
0001960657-24-000005	0	50	196036634	N
0001172661-24-005284	0	37	591639223	
0001812881-24-000005	0	2	615421	N
0001892688-24-000149	0	29	220116209	N
0000902664-24-006633	0	29	13405659056	
0001688382-24-000014	0	75	607147353	
0001398344-24-020894	0	102	115425639	
0001104659-24-119074	1	1	16900	
0001904432-24-000006	0	112	147266661	N
0001172661-24-005281	0	1214	3358813998	
0001560207-24-000006	0	13	288343298	
0001172661-24-005279	0	223	312798463	
0001799964-24-000006	0	105	452369425	N
0001085146-24-005971	1	19	10979658	N
0001085146-24-005969	0	0	0	N
0001085146-24-005968	0	0	0	N
0001085146-24-005967	0	0	0	N
