ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001062993-24-009802	176400		028-04434	000104543	801-36845	HARDING LOEVNER LP
0001062993-24-009802	176401		028-00139	000006363	801-28543	AMERIPRISE FINANCIAL INC
0001062993-24-009802	176347		028-07342	000110351	801-2731	MAIRS AND POWER, INC.
0001085146-24-002373	176606	0001345929	028-13997	000110181	801-38826	BROWN ADVISORY INC
0001085146-24-002373	176605	0001109448	028-10562	000108477	801-56720	ALLIANCEBERNSTEIN L.P.
0001085146-24-002373	176609	0001633863	028-16899	000106595	801-15908	Wellington Management Co LLP
0001085146-24-002373	176608	0001418333	028-13120	000105390	801-32108	MACQUARIE GROUP LTD
0001085146-24-002373	176607	0000200217	028-00400	000104596	801-1895	DODGE & COX
0001085146-24-002373	176610	0000764529	028-01523	000110052	801-21400	Peregrine Capital Management LLC
0001104659-24-059413	176440	0001578985	028-15541			Cumberland Partners Ltd
0001104659-24-059411	176535	0001578985	028-15541			Cumberland Partners Ltd
0001767617-24-000002	176544	0001053187	028-06808			Natixis Investment Managers, LLC
0000919574-24-002808	176522	0000883961	028-03589	000105690	801-36209	TOCQUEVILLE ASSET MANAGEMENT L.P.
0001484052-24-000002	176459	0001483870	028-13830			TCTC Holdings, LLC
0001844161-24-000008	176302					Arch Capital Group Ltd.
0001423841-24-000002	176216	0001483870	028-13830			TCTC Holdings, LLC
0001104659-24-059351	176296	0001965482	028-23088	000295495		Foundry Group Next, LLC
0001398344-24-009086	176585	0001364615	028-11964	000111616	801-57184	Aperio Group, LLC
0000950123-24-004183	176104		28-13328	000145480	801-68501	HS MANAGEMENT PARTNERS, LLC
0000950123-24-004183	176105		28-03432	000149777	801-70103	MORGAN STANLEY
0001859606-24-000006	176431		028-21213			Optiver Holding B.V.
0001813517-24-000007	176305		028-00967			Associated Banc-Corp
0001859606-24-000005	175986		028-21213			Optiver Holding B.V.
0000898432-24-000389	176516	0000752798	028-18928			CONCOURSE FINANCIAL GROUP SECURITIES, INC.
0000898432-24-000389	176515	0000355429	028-18945			PROTECTIVE LIFE CORP
0000898432-24-000387	176186	0000752798	028-18928			CONCOURSE FINANCIAL GROUP SECURITIES, INC.
0000898432-24-000387	176185	0000355429	028-18945			PROTECTIVE LIFE CORP
