ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0001172661-24-004074,105185463,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,28131212,27506,SH,,SOLE,,27421,0,85,asml holding n v,PRIO WEALTH LIMITED PARTNERSHIP,30-JUN-2024,,2024-06-30
0001879757-24-000008,105186956,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,68345,67,SH,,SOLE,NONE,0,0,67,asml holding n v,"Newbridge Financial Services Group, Inc.",30-JUN-2024,,2024-06-30
0001905128-24-000005,105189552,ASML HOLDING NV,Equities,N07059210,,434660,425,SH,,SOLE,,116,0,309,asml holding nv,American Trust,30-JUN-2024,,2024-06-30
0000929638-24-003190,105197760,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,5113650,5000,SH,,SOLE,,5000,0,0,asml holding n v,KP Management LLC,30-JUN-2024,,2024-06-30
0001535845-24-000013,105198211,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,21585739,21106,SH,,SOLE,,21106,0,0,asml holding n v,HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND,30-JUN-2024,,2024-06-30
0000891943-24-000004,105199685,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,1666,1629,SH,,SOLE,,0,0,1629,asml holding n v,"CENTAURUS FINANCIAL, INC.",30-JUN-2024,,2024-06-30
0001214659-24-014688,104754069,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,1840914,1800,SH,Call,SOLE,,1800,0,0,asml holding n v,READYSTATE ASSET MANAGEMENT LP,30-JUN-2024,,2024-06-30
0001273087-24-000084,104485483,ASML   HOLDING               N  V,N       Y  REGISTRY  SHS,N07059210,,67397907,65900,SH,Call,SOLE,,0,0,65900,asml   holding               n  v,MILLENNIUM MANAGEMENT LLC,30-JUN-2024,,2024-06-30
0001172661-24-003524,104497526,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,84886590,83000,SH,,SOLE,,83000,0,0,asml holding n v,Jericho Capital Asset Management L.P.,30-JUN-2024,,2024-06-30
0001172661-24-003523,104436346,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,17647206,17255,SH,,SOLE,,1379,0,15876,asml holding n v,Kodai Capital Management LP,30-JUN-2024,,2024-06-30
0001085146-24-003942,104615455,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,397842,389,SH,,SOLE,,0,0,389,asml holding n v,"Aspen Grove Capital, LLC",30-JUN-2024,,2024-06-30
0001214659-24-014667,104617534,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,554320,542,SH,,SOLE,,542,0,0,asml holding n v,"BlueSpruce Investments, LP",30-JUN-2024,,2024-06-30
0001214659-24-014681,104613933,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,3153077,3083,SH,,SOLE,,3083,0,0,asml holding n v,MBB PUBLIC MARKETS I LLC,30-JUN-2024,,2024-06-30
0001214659-24-014697,104479775,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,113252007,110735,SH,,SOLE,,110735,0,0,asml holding n v,"VOLORIDGE INVESTMENT MANAGEMENT, LLC",30-JUN-2024,,2024-06-30
0001214659-24-014690,104445474,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,3861828,3776,SH,,SOLE,,3776,0,0,asml holding n v,Scientech Research LLC,30-JUN-2024,,2024-06-30
0001214659-24-014699,104415154,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,653013105,638500,SH,,SOLE,,638500,0,0,asml holding n v,WINDACRE PARTNERSHIP LLC,30-JUN-2024,,2024-06-30
0001214659-24-014693,104725427,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,15340950,15000,SH,,SOLE,,15000,0,0,asml holding n v,SORA INVESTORS LLC,30-JUN-2024,,2024-06-30
0001214659-24-014688,104754068,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,2659098,2600,SH,Put,SOLE,,2600,0,0,asml holding n v,READYSTATE ASSET MANAGEMENT LP,30-JUN-2024,,2024-06-30
0001172661-24-003504,104265265,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,217841,213,SH,,SOLE,,213,0,0,asml holding n v,"HEADINVEST, LLC",30-JUN-2024,,2024-06-30
0001104659-24-089519,104375635,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,138067,135,SH,,SOLE,,135,0,0,asml holding n v,Northwest & Ethical Investments L.P.,30-JUN-2024,,2024-06-30
0001140361-24-037262,104470002,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,3080000,3012,SH,,SOLE,,3012,0,0,asml holding n v,Royal Bank of Canada,30-JUN-2024,,2024-06-30
0001911013-24-000008,104564131,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,1150571,1125,SH,,SOLE,,1125,0,0,asml holding n v,"Burford Brothers, Inc.",30-JUN-2024,,2024-06-30
0001420506-24-001512,104425909,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,323183,316,SH,,SOLE,,316,0,0,asml holding n v,"Bridgefront Capital, LLC",30-JUN-2024,,2024-06-30
0000919574-24-004666,104421683,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,5625015,5500,SH,,SOLE,,5500,0,0,asml holding n v,"TWO SIGMA SECURITIES, LLC",30-JUN-2024,,2024-06-30
