FILINGMANAGER_NAME,SNOW,PLTR,GOOGL,MSFT,ASML,AAPL,AMZN,CRM,TSLA,META,SHOP,NVDA,PANW,AMD
"ACT Capital, L.L.C.",0.0,0.0,0.0,0.0,0.0,0.0,-0.015902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACT WEALTH MANAGEMENT, LLC",0.0,0.0,0.0,35.39107507,0.0,-56.26810357000001,-207.22455469999994,0.0,-284.79291284000004,0.0,0.0,1.1746168799999999,0.0,0.0
ACTIAM N.V.,0.0,0.0,0.0,-0.05178342999999999,0.0,-0.001343029999999995,-0.12265851000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACUTE INVESTMENT ADVISORY, LLC",0.0,0.0,0.0,7.8677386,0.0,-19.153860230000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ADAGE CAPITAL PARTNERS GP, L.L.C.",0.10612238999999996,1.14257939,0.0,30.306371969999994,359.24189115,-54.679689010000004,-182.20036629,-75.47360772,-248.62337519000002,-102.32200772999998,-1.1436308199999998,257.52931422000006,0.03914892,23.368212180000004
ADAMCAPITAL Gestao de Recursos Ltda.,0.0,0.0,0.0,169.07651128999996,0.0,0.0,871.3455239600002,0.0,0.0,-379.11477725,0.0,0.0,0.0,0.0
"ADAMS DIVERSIFIED EQUITY FUND, INC.",0.0,0.0,0.0,29.64158941,0.0,-54.10806741000001,-185.93906725,0.3563809,-226.86198883000003,-68.91014702000001,0.0,247.83584474999995,-126.35382190999998,23.10119349
ADAMSBROWN WEALTH CONSULTANTS LLC,0.0,0.0,0.0,33.54118019,0.0,-55.093527340000016,-219.97284757,0.0,1.95584455,0.81465253,0.0,250.42966427,0.0,23.419006939999996
ADAPT Investment Managers SA,0.0,0.0,0.0,0.0,0.0,0.0014960000000000002,0.0035479999999999995,0.00443,0.010872,0.0,0.0,0.0021160000000000003,0.0,-0.0052759999999999994
"ADAPT WEALTH ADVISORS, LLC",0.0,0.0,0.0,0.04513533,0.0,0.13980669,0.06840241,0.029958149999999996,0.0,0.026248280000000002,0.0,0.46864395,0.0,0.0
"ADE, LLC",0.0,0.040577999999999996,0.0,31.1693325,0.0,-57.1882137,0.5929752600000001,0.0,1.47990901,-0.07734,0.09795873999999999,-0.41686999999999996,0.0,-0.33270320000000003
ADELL HARRIMAN & CARPENTER INC,0.0,0.0,0.0,0.23681437999999994,0.16983272,0.34164507000000005,0.48109069000000004,0.65376108,2.07740019,1.3379455,0.0,2.64262544,0.7458379999999999,1.4689284699999998
"ADG Wealth Management Group, LLC",0.0,0.0,0.0,0.0,0.0,0.0014960000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ADIRONDACK RETIREMENT SPECIALISTS, INC.",0.0,0.0,0.0,60.96087080000001,827.3885023900001,-112.45473381000002,-359.9664795,0.0,-0.10170455999999997,-195.10548031000002,736.8910485599998,-0.13793399999999997,0.0,0.0
ADIRONDACK TRUST CO,0.0,1.2706563300000002,0.0,31.057914520000004,431.8810048400001,-55.33431705000002,-192.07235568000002,-72.32473789,-253.06660489000004,-94.40025456000001,0.0,248.51338010999999,-124.01998646999999,22.77857073
"ADVANCED RESEARCH INVESTMENT SOLUTIONS, LLC",0.0,0.0,0.0,430.44650428000006,0.28428,14.63543251000001,-1121.1021637300003,0.23886999999999997,156.81875153000001,-0.37952611999999997,0.4007999,0.2819147800000001,0.19176200000000002,104.29903290000001
ADVENT CAPITAL MANAGEMENT /DE/,-0.59825793,-0.466584,0.0,0.04803200000000001,-0.23948999999999998,-0.10173600000000001,0.23170492000000006,0.17326316,0.030868619999999958,0.0,145.20888774,1.44599155,-67.11768773000003,-0.26652952
"ADVISOR GROUP HOLDINGS, INC.",0.20921331000000004,-0.65771316,0.0,-0.14243064,0.011564680000000008,-0.12017769999999998,-0.2240672,0.17837180000000002,0.33888912,0.4080350400000001,-0.20236527999999998,0.2260569,-0.09808361999999998,0.09387092000000005
ADVISOR PARTNERS LLC,0.0,0.0,0.0,0.10365322,0.37661499,0.06625284,0.00281306000000002,0.09413801999999999,8.47328638,-14.084483510000002,0.5709320200000001,0.42281165,0.11185246,0.35013766
ADVISORS MANAGEMENT GROUP INC /ADV,0.0,0.0,0.0,0.46913922999999985,0.0,0.11093822999999997,0.62605557,0.0,2.04166755,0.69743614,0.0,1.1191727500000002,0.04032346,-0.45809795
ADVISORY RESEARCH INC,0.134712,0.24073999999999998,0.0,18.88396477,2.3786290400000003,-57.564210470000006,-128.84247474999998,-0.29594048,-184.80438701000003,1.03374329,-0.008121900000000015,-0.6400175899999998,-0.25186125000000004,-0.4050833
"ADVISORY SERVICES NETWORK, LLC",0.134712,-0.027416000000000003,0.0,0.076424,0.189094,0.120826,0.030142000000000002,0.041249999999999995,0.049336,-0.039018000000000004,0.16225,-0.017842000000000004,0.08808400000000001,0.100644
ADVOCATE GROUP LLC,0.0,0.0,0.0,32.257290709999985,0.0,-54.50623053,0.0,0.0,0.5415808499999999,0.28089985,0.0,0.16840128999999998,0.0,0.0
AE Wealth Management LLC,-113.26004728000001,-148.26854583999997,0.0,30.202641100000005,338.5876614500001,-58.80939420000001,-195.14518887999998,-73.59938797000004,-255.17497465999998,-144.79272704000002,345.79376588,270.05379244999995,-133.25118339000002,20.804974709999993
AEGON ASSET MANAGEMENT UK PLC,0.326002,0.0,0.0,0.12385218,0.0,0.08597011000000002,0.02686612,0.0,0.12042570000000002,0.33871999999999997,0.50116646,0.28003522,0.0,0.0
AEGON ASSET MANAGEMENT UK Plc,0.38302775,0.0,0.0,0.12553652,0.0,0.13449099999999997,0.17469717999999998,0.00443,0.23292809999999997,12.71452684,0.3902643199999999,1.35546554,0.0,0.4055598
"AF Advisors, Inc.",0.0,0.0,0.0,0.00806678,0.0,-59.40818518000002,0.55449813,0.0,-534.4805699699998,0.0,0.0,1.5967474399999997,0.0,0.0
"AFFINIA FINANCIAL GROUP, LLC",0.0,0.0,0.0,32.528766170000004,0.0,-56.55003064000001,0.050688000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AFFINITY INVESTMENT ADVISORS, LLC",0.0,0.0,0.0,30.63986984,0.0,-55.87554244,0.0,0.0,0.8338254900000002,-153.55316644,0.0,0.19466221999999997,0.0,0.0
AFFINITY WEALTH MANAGEMENT LLC,0.0,1.09650313,0.0,32.54353157,0.0,-60.184841999999996,-181.12532421999998,0.0,0.61511574,-157.27926435999996,0.0,241.68437705000002,0.0,-0.20404294
AFG FIDUCIARY SERVICES LIMITED PARTNERSHIP,0.0,-0.073336,0.0,29.545254230000005,0.0,-54.877253290000006,-199.90183235999996,0.0,-236.32707852000007,0.16998397,0.0,246.81405894,0.0,26.75416904
"AFS Financial Group, LLC",0.0,0.0,0.0,-0.10043841,0.0,-0.06452436000000003,-0.21527551,0.0,0.52952663,0.0,0.0,0.30829527,0.0,-0.1654608700000001
"AFT FORSYTH AND COMPANY, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AFT, FORSYTH & COMPANY, INC.",-130.10845614000002,0.0,0.0,29.724022980000008,385.91297148,-52.6417476,-175.56811047999997,-68.75881028000002,-0.14809516999999997,1.21081327,1.06667375,231.44030574999996,-125.34964642,19.623469
AFTON CAPITAL MANAGEMENT LLC,0.15984399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14572136000000002,0.0
AGF INVESTMENTS INC.,0.36580031999999996,0.0,0.0,0.047126849999999984,0.29940511000000003,0.11664117000000002,0.38244212,1.1238752399999998,1.0267927899999998,0.33988289,0.4580955,0.63931508,7.813283370000001,0.6108473299999999
AGF Investments LLC,0.0,0.0,0.0,0.18964633999999997,0.0,0.22515652999999994,0.5037548300000001,0.2051738,0.1447087299999999,0.29572,0.0,0.16232509999999997,0.0,3.5282103100000004
AGF MANAGEMENT LTD,0.262464,0.0,0.0,0.09240384000000001,-0.048257999999999995,-0.8318613300000002,-1.96428379,-0.4492565800000002,3.1724221,0.4598093099999999,-0.36465861999999993,2.6978552600000003,0.59127251,0.58841127
"AGP FRANKLIN, LLC",0.0,0.020662000000000003,0.0,-0.00040999999999999994,0.0,0.0014960000000000002,0.0035479999999999995,0.0,0.0,0.0,0.0,0.0021160000000000003,0.0012939999999999998,-0.0052759999999999994
"AHL INVESTMENT MANAGEMENT, INC.",0.0,0.0,0.0,31.37923247,0.0,-53.89193611000001,-208.61152087000002,0.16323999999999997,0.0,0.36352656999999994,0.0,0.080694,0.0,0.0
AI-Squared Management Ltd,0.14652,0.0,0.0,0.0,0.0,0.0,0.037225999999999995,0.0,0.0,0.0,0.0,-0.8382036399999998,0.0,0.27082105
AIFG Consultants Ltd.,0.0,0.0,0.0,0.09396744000000001,0.0,0.5541160199999999,0.0,0.0,0.0,-0.020093999999999997,0.0,0.6010899199999998,0.0,0.0
"AIGEN INVESTMENT MANAGEMENT, LP",0.07639400000000002,0.24115000000000003,0.0,0.08716,0.20287155,-0.10099,-0.011799999999999998,-0.5167849800000001,-0.79572736,0.5504705699999999,0.60643649,3.0178464599999995,-0.46523840000000005,0.038000000000000006
AIGH Capital Management LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33887599999999996,0.0,0.0,0.0,0.0
"AIMZ Investment Advisors, LLC",0.0,1.3697196100000002,0.0,238.3369541,0.0,338.35066068,282.30050372,0.0,1153.48612544,1340.1410842,0.0,1.6625313299999995,0.0,0.0
"AIRE ADVISORS, LLC",0.0,0.0,0.0,25.46171417,0.0,-56.21980811000001,-176.51573595000002,0.29726568999999997,-178.42987459000003,-102.55416074,0.0,166.61429767,0.013931459999999998,0.0
"AJ Advisors, LLC",0.0,0.0,0.0,0.21628998000000002,0.0,0.05018356999999999,0.16573673,0.0,0.37494863999999994,0.29796279000000003,0.0,0.07255426999999999,0.0,0.0
"AJ WEALTH STRATEGIES, LLC",0.59146524,416.06120961000005,0.0,240.54278868,0.0,310.32344089000003,279.3083038,634.8505142000001,991.67838023,1262.98474389,0.57938606,1738.37521569,0.3995556,0.0
"AJO, LP",0.0,0.0,0.0,-0.11419375000000001,0.0,-0.1458,0.01675928000000001,0.0,-0.6448999999999999,-0.043,0.0,0.0351,-0.4521,-0.1186
"AJOVista, LLC",0.19395199999999999,0.0,0.0,0.05911273,0.0,-0.040826619999999994,0.08254592999999999,0.17326316,-0.24403226,0.007989800000000019,0.01795,0.8745699599999999,0.041656,0.05779105000000001
AKO CAPITAL LLP,0.0,0.0,0.0,0.30136112000000004,0.0,0.0,0.0026573799999999974,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKRE CAPITAL MANAGEMENT LLC,0.19691083999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.17358862,0.0,0.0,0.0,0.0,0.0,0.0
