FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
"Alera Investment Advisors, LLC",,,,,,,,,inf,-31.17,5.66,116010.71,25.63,-80.48,-26.16,28.58,28.21,1333.27,-46.38,-100.0
"Alexandria Capital, LLC",,inf,0.31,30.96,26.48,5.42,8.87,-100.0,,,,,,,,,,,,
Alight Capital Management LP,,,,inf,9.7,-13.93,61.8,-28.77,-28.69,-74.85,45.45,-100.0,,,,,,inf,-100.0,
"Aljian Capital Management, LLC",,,,,,,,,,,,,,,,,,,inf,-100.0
"Allen Capital Group, LLC",,,,,,,,,,,,,,inf,-19.67,30.01,28.21,7.63,373.52,2.5
"Alliance Wealth Advisors, LLC /UT",,,,,,,,,,,,inf,54.97,12.67,-16.69,-6.61,42.11,1.64,1.0,104.39
"Allred Capital Management, LLC",,-99.86,0.44,36.06,126584.23,-99.89,-0.8,8.44,-19.62,-28.12,-15.87,131707.02,28.88,-0.27,-18.85,30.39,36.17,5.12,-100.0,inf
Allworth Financial LP,,50.0,0.0,33.33,25.0,310.0,2007.32,9.95,-86.84,-36.0,1410.0,59425.0,-70.22,29.17,14.86,153.93,32.67,-0.48,-13.25,7.08
"Almanack Investment Partners, LLC.",,-100.0,inf,-100.0,,,,,,,inf,-100.0,,,,,,,,
"Alpha Cubed Investments, LLC",,inf,-100.0,,,,inf,178.29,-1.86,-39.69,34.87,175559.34,24.61,15.87,29.76,84.42,6.79,-11.35,-3.87,11.38
AlphaCore Capital LLC,,,,,,,,,,,,,inf,5.8,41.5,22.32,33.57,56.25,-59.96,-22.64
Alphadyne Asset Management LP,,,,,,,,,,,,,,,inf,-100.0,,,,
Alpine Bank Wealth Management,,,,,,,,,,,,,,,,,,,inf,-100.0
Altium Wealth Management LLC,,inf,72.38,56.91,48.59,31.87,16.17,34.42,-3.39,-9.71,-100.0,,,,,,,,,
Altus Wealth Group LLC,,,,inf,-100.0,,,,,,,,,,,,,,,
"Ambassador Advisors, LLC",,,,,,,,,,,,inf,-89.41,74.49,95.08,-100.0,,,,
Ameliora Wealth Management Ltd.,,,,,,,,,,,,,,inf,-18.78,28.58,28.21,5.39,-18.53,-16.82
