REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE
31-DEC-2024,"Whitaker-Myers Wealth Managers, LTD.",386115
31-DEC-2024,"WestEnd Advisors, LLC",846
31-DEC-2024,"Whipplewood Advisors, LLC",280595
31-DEC-2024,Westwood Wealth Management,583657
31-DEC-2024,"Westside Investment Management, Inc.",709522
31-DEC-2024,"Westmount Partners, LLC",275401
31-DEC-2024,"Western Wealth Management, LLC",245204
31-DEC-2024,"Western Pacific Wealth Management, LP",191694
31-DEC-2024,"Westend Capital Management, LLC",5677
31-DEC-2024,"WestHill Financial Advisors, Inc.",278421
31-DEC-2024,"West Oak Capital, LLC",434
31-DEC-2024,Wedmont Private Capital,2070966
31-DEC-2024,"West Family Investments, Inc.",526524
31-DEC-2024,West Branch Capital LLC,467095
31-DEC-2024,"Werlinich Asset Management, LLC",5071465
31-DEC-2024,"Wellington Wealth Strategies, LLC.",298756
31-DEC-2024,"Wellington Shields Capital Management, LLC",6264169
31-DEC-2024,"Wellington Shields & Co., LLC",109557
31-DEC-2024,"Well Done, LLC",252191
31-DEC-2024,"Welch Group, LLC",6179036
31-DEC-2024,"Garde Capital, Inc.",111
31-DEC-2024,"Game Creek Capital, LP",2763071
31-DEC-2024,Warm Springs Advisors Inc.,2167818
31-DEC-2024,"Focus Financial Network, Inc.",1311659
31-DEC-2024,"First National Advisers, LLC",583174
31-DEC-2024,First National Bank of Hutchinson,531355
31-DEC-2024,First National Trust Co,4608017
31-DEC-2024,First PREMIER Bank,10
31-DEC-2024,First Pacific Financial,989754
31-DEC-2024,First Washington CORP,449218
31-DEC-2024,Five Oceans Advisors,252572
31-DEC-2024,"Fjell Capital, LLC",1257062
31-DEC-2024,Focus Partners Wealth,72658426
31-DEC-2024,"First Heartland Consultants, Inc.",393655
31-DEC-2024,"Focused Wealth Management, Inc",285185
31-DEC-2024,"Formidable Asset Management, LLC",1337870
31-DEC-2024,Fort Point Capital Partners LLC,580034
31-DEC-2024,Fort Sheridan Advisors LLC,837316
31-DEC-2024,"Fortis Advisors, LLC",211383
31-DEC-2024,"Fortis Capital Advisors, LLC",217195
31-DEC-2024,Fortis Capital Management LLC,687296
31-DEC-2024,"Fortis Group Advisors, LLC",482949
31-DEC-2024,"First Horizon Advisors, Inc.",91679
31-DEC-2024,"First Command Advisory Services, Inc.",69454
31-DEC-2024,"Fortitude Family Office, LLC",309585
31-DEC-2024,"Financial Gravity Companies, Inc.",60878
31-DEC-2024,Fielder Capital Group LLC,745355
31-DEC-2024,"Fieldview Capital Management, LLC",1430758
31-DEC-2024,Fifth Third Wealth Advisors LLC,5407285
31-DEC-2024,"Financial Advisors Network, Inc.",639462
31-DEC-2024,Financial Advocates Investment Management,2136303
31-DEC-2024,"Financial Avengers, Inc.",629074
31-DEC-2024,"Financial Connections Group, Inc.",1
31-DEC-2024,Financial Engines Advisors L.L.C.,259095
31-DEC-2024,Financial Life Planners,145672
31-DEC-2024,First Bank & Trust,495964
31-DEC-2024,"Financial Management Professionals, Inc.",159805
31-DEC-2024,Financial Network Wealth Advisors LLC,14012
31-DEC-2024,"Financial Perspectives, Inc",302579
31-DEC-2024,Financially Speaking Inc,28144
31-DEC-2024,FineMark National Bank & Trust,860749
31-DEC-2024,"Finer Wealth Management, Inc.",2368672
31-DEC-2024,First Affirmative Financial Network,491659
