ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0001172661-22-002491,73268068,AMAZON COM INC,COM,023135106,,4353,38518,SH,,SOLE,,0,0,38518,amazon com inc,NORTHERN OAK WEALTH MANAGEMENT INC,30-SEP-2022,,2022-09-30
0001909319-22-000005,74162111,AMAZON COM INC COM,Stock,023135106,,3754,33222,SH,,SOLE,,0,0,33222,amazon com inc com,"HERBST GROUP, LLC",30-SEP-2022,,2022-09-30
0001420506-22-002240,74431185,AMAZON COM INC,COM,023135106,,5424,48000,SH,,SOLE,,48000,0,0,amazon com inc,"KIDS CAPITAL MANAGEMENT, L.P.",30-SEP-2022,,2022-09-30
0001140361-22-041281,73693447,Amazon.com Inc,COM,023135106,,380,3360,SH,,SOLE,,3360,0,0,amazon.com inc,"Keeley-Teton Advisors, LLC",30-SEP-2022,,2022-09-30
0001278249-22-000008,74087763,AMAZON COM INC,COMMON,023135106,,8188545,72465,SH,,SOLE,1,54065,0,18400,amazon com inc,TOWER BRIDGE ADVISORS,30-SEP-2022,,2022-09-30
0000861177-22-000006,74365504,AMAZON COM INC,EQUITY US CM,023135106,,357538441,3164057,SH,,SOLE,8,3077725,0,86332,amazon com inc,UBS ASSET MANAGEMENT AMERICAS INC,30-SEP-2022,,2022-09-30
0001140361-22-041293,73777770,AMAZON.COM INC,Common Stock,023135106,,3806,32803,SH,,SOLE,,32803,0,0,amazon.com inc,Ninety One SA (PTY) Ltd,30-SEP-2022,,2022-09-30
0001951757-22-000026,73256975,AMAZON COM INC,COM,023135106,,1866,16511,SH,,SOLE,,0,0,16511,amazon com inc,"Accretive Wealth Partners, LLC",30-SEP-2022,,2022-09-30
0001398344-22-022065,74206366,AMAZON COM INC,COM,023135106,,2577,22808,SH,,SOLE,,2577,0,0,amazon com inc,BERKSHIRE ASSET MANAGEMENT LLC/PA,30-SEP-2022,,2022-09-30
0001083190-22-000008,74584942,AMAZON COM INC,COM,023135106,,146494,1296410,SH,,SOLE,,1296410,0,0,amazon com inc,COMMONWEALTH OF PENNSYLVANIA PUBLIC SCHOOL EMPLS RETRMT SYS,30-SEP-2022,,2022-09-30
0001001011-22-000005,74539551,AMAZON COM INC COM,Common Stock,023135106,,186,1647,SH,,SOLE,,0,0,1647,amazon com inc com,CLARK FINANCIAL SERVICES GROUP INC                      /BD,30-SEP-2022,,2022-09-30
