FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
"Aft, Forsyth & Sober, LLC",,,,inf,84.93,19.72,9.57,39.87,-24.07,-30.0,-17.19,102168.42,51.32,16.22,-9.74,43.36,22.44,-10.13,1.15,-26.38
Ahrens Investment Partners LLC,,-10.29,26.61,0.36,-14.08,41.18,23.81,29.33,-22.49,-21.58,-100.0,,inf,-100.0,,,,,,
"Aigen Investment Management, LP",,,,,,,,,,inf,286.42,-100.0,,inf,-100.0,inf,270.93,-61.81,-100.0,
Alaethes Wealth LLC,,,,,,,inf,50.41,-9.13,-16.95,-11.49,112650.87,69.32,7.86,-5.76,41.58,17.66,-9.64,1.15,-25.84
"Alamar Capital Management, LLC",,,,,,,,,,,inf,102254.59,51.32,16.22,-9.74,43.37,-100.0,inf,1.15,-100.0
Albar Capital Ltd,,,,,,,,,,,,inf,19.98,-100.0,inf,269.63,-100.0,,,
Alberta Investment Management Corp,,inf,-100.0,,,,inf,205.45,-63.73,-52.62,-100.0,,inf,205.5,-86.67,43.37,22.44,-95.43,-100.0,
Alecta Tjanstepension Omsesidigt,,,,,,,,,,,,,,,,,,,,inf
"Alera Investment Advisors, LLC",,,,,,,,,,,,,,,,,inf,714.43,-14.99,-100.0
Aletheian Wealth Advisors LLC,,,,,,,,,,,,,,inf,-100.0,,inf,-67.23,-65.05,-100.0
"Alexis Investment Partners, LLC",,,,,,,,,,,,,,,,,,,,inf
Alight Capital Management LP,,275.98,19.89,-32.88,-28.68,378.65,-45.23,-30.08,-62.0,-65.03,-100.0,,inf,59.81,64.12,-64.16,213.45,-43.12,24.87,-100.0
"Aljian Capital Management, LLC",,,,,,,,,,,,,,,,,,inf,121.76,-17.52
"All Terrain Financial Advisors, LLC",,,,,,,,,inf,-3.79,-17.27,102274.73,51.32,18.92,-9.74,43.37,-21.93,-10.13,1.33,28.44
