FILINGMANAGER_NAME,AAPL,AMD,AMZN,ASML,CRM,GOOGL,META,MSFT,NVDA,PANW,PLTR,SHOP,SNOW,TSLA
AFG FIDUCIARY SERVICES LIMITED PARTNERSHIP,0.09771016524364333,0.25525969629757805,0.39384168420001486,0.0,0.0,0.0,0.019140786109147368,0.029804915304957165,0.15630887953749983,0.0,0.004177361831102543,0.0,0.0,0.04375651147605691
"AFS Financial Group, LLC",0.6908035156031196,0.043811448628045264,0.04342604128574493,0.0,0.0,0.0,0.0,0.18468767182747017,0.028120368095728064,0.0,0.0,0.0,0.0,0.009150954559891978
"AFT FORSYTH AND COMPANY, INC.",0.26350643363091497,0.0,0.25185464604551744,0.009262752001341213,0.1145060564147701,0.0,0.0,0.20730122804811602,0.15356888385934028,0.0,0.0,0.0,0.0,0.0
"AFT, FORSYTH & COMPANY, INC.",0.1562618394975411,0.0039148903472305185,0.09134068473481625,0.015517451894438471,0.04700851980770564,0.0,0.03290641586588112,0.14538847382608402,0.46303747070054574,0.03760211224428856,0.0,1.5919258674812972e-05,0.007004573058541637,1.6487642520952509e-06
AFTON CAPITAL MANAGEMENT LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7073002754820936,0.0,0.0,0.2926997245179063,0.0
AGF INVESTMENTS INC.,0.07300645255648633,0.0748476092866495,0.30705162622512944,0.033128059246798965,0.0008245602893749821,0.0,0.016929769361138467,0.20007482927672157,0.1698911217818119,0.06457195334291285,0.0,0.055685520950222424,0.00015881470749784694,0.0038296829752557976
AGF Investments LLC,0.3539322723441199,0.007278527334857685,0.21120348077146334,0.0,0.0067182523458360465,0.0,0.0031748916044559527,0.358798083960488,0.035085328366571265,0.004441819732784163,0.0,0.0,0.0,0.019367343539423675
AGF MANAGEMENT LTD,0.05523938025976519,0.0010299145554495343,0.32875358038893643,0.0038047696152138754,0.00045088410342579443,0.0,0.03326688396837747,0.15100694254929675,0.2781982868199193,0.08325847431120048,0.0,0.06029213281904799,0.0001044650331703832,0.0045942855761968
"AGP FRANKLIN, LLC",0.11458956871951412,0.06915924028802056,0.20213758783776475,0.0,0.0,0.0,0.0,0.12748567627309426,0.23793936293308807,0.07159328852653196,0.17709527542198628,0.0,0.0,0.0
"AHL INVESTMENT MANAGEMENT, INC.",0.4034850721649554,0.0,0.13396497711713148,0.0,8.82802592782387e-08,0.0,0.007302307633471163,0.4552470177659388,5.370382439426187e-07,0.0,0.0,0.0,0.0,0.0
