ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED
0001667731-25-000306,111814692,APPLE INC,COM,037833100,,46814604,283897,SH,,SOLE,,283897,0,0,Clare Market Investments LLC,31-MAR-2023,
0001729939-24-000013,108425816,APPLE INC,COM,037833100,,2358044,14300,SH,,DFND,1,0,0,14300,"Cypress Capital, LLC",31-MAR-2023,
0002043130-25-000008,109489783,APPLE INC,COM,037833100,,3796493,23023,SH,,SOLE,,23023,0,0,Generali Investments Towarzystwo Funduszy Inwestycyjnych,31-MAR-2023,
0002042955-25-000014,109624903,APPLE INC,COM,037833100,,3317458,20118,SH,,SOLE,,20118,0,0,Generali Powszechne Towarzystwo Emerytalne,31-MAR-2023,
0001213900-25-003634,108889155,APPLE INC,COM,037833100,,2701948,16385,SH,,SOLE,,0,0,16385,"Goldstone Financial Group, LLC",31-MAR-2023,
0001085146-24-006068,108457783,APPLE INC,COM,037833100,,10904890,66130,SH,,SOLE,,0,0,66130,"Independent Solutions Wealth Management, LLC",31-MAR-2023,
0001214659-24-020382,108426478,APPLE INC,COM,037833100,,11768089,71365,SH,,SOLE,,0,0,71365,"Legacy Wealth Management, LLC / MS",31-MAR-2023,
0001420506-25-000409,111299374,APPLE INC,COM,037833100,,5951540,36092,SH,,SOLE,,0,0,36092,MSH Capital Advisors LLC,31-MAR-2023,
0001085146-25-001281,110806209,APPLE INC,COM,037833100,BBG001S5N8V8,5889054,35713,SH,,SOLE,,0,0,35713,"NFP Retirement, Inc.",31-MAR-2023,
0001140361-25-000829,108624407,APPLE HOSPITALITY REIT INC,COM NEW,03784Y200,,3501312,225600,SH,,SOLE,,225600,0,0,NOMURA ASSET MANAGEMENT CO LTD,31-MAR-2023,
0001140361-25-000829,108624408,APPLE INC,COM,037833100,,53140509,322259,SH,,SOLE,6,0,0,322259,NOMURA ASSET MANAGEMENT CO LTD,31-MAR-2023,
0001140361-25-000829,108624409,APPLE INC,COM,037833100,,3248530,19700,SH,,SOLE,5,19700,0,0,NOMURA ASSET MANAGEMENT CO LTD,31-MAR-2023,
0001140361-25-000829,108624410,APPLE INC,COM,037833100,,49625006,300940,SH,,SOLE,4,0,0,300940,NOMURA ASSET MANAGEMENT CO LTD,31-MAR-2023,
0001140361-25-000829,108624411,APPLE INC,COM,037833100,,11047146,66993,SH,,SOLE,2,66993,0,0,NOMURA ASSET MANAGEMENT CO LTD,31-MAR-2023,
0001140361-25-000829,108624412,APPLE INC,COM,037833100,,14425287,87479,SH,,SOLE,1,256,3217,84006,NOMURA ASSET MANAGEMENT CO LTD,31-MAR-2023,
0001140361-25-000829,108624413,APPLE INC,COM,037833100,,887051517,5379330,SH,,SOLE,,5575641,0,0,NOMURA ASSET MANAGEMENT CO LTD,31-MAR-2023,
0001140361-25-000829,108624414,APPLE INC,COM,037833100,,2242145,13597,SH,,SOLE,,13597,0,0,NOMURA ASSET MANAGEMENT CO LTD,31-MAR-2023,
0002054264-25-000009,111840538,APPLE INC,COM,037833100,,1323111,8024,SH,,SOLE,,0,0,8024,Partners in Financial Planning,31-MAR-2023,
0001214659-24-020519,108429439,APPLE HOSPITALITY REIT INC,COM NEW,03784Y200,,386077,24876,SH,,SOLE,,0,0,24876,SMART Wealth LLC,31-MAR-2023,
0001214659-24-020519,108429440,APPLE INC,COM,037833100,,1781099,10801,SH,,SOLE,,0,0,10801,SMART Wealth LLC,31-MAR-2023,
0001085146-25-000594,109289920,APPLE INC,COM,037833100,,1123037,6810,SH,,SOLE,,0,0,6810,"Sage Private Wealth Group, LLC",31-MAR-2023,
0001221073-25-000024,110191696,APPLE INC,COM,037833100,BBG001S5N8V8,1554784,9429,SH,,SOLE,,622,0,8807,"Saiph Capital, LLC",31-MAR-2023,
0000946431-24-000021,108426905,APPLE INC,COM,037833100,,2402951823,14572176,SH,,DFND,1,14572176,0,0,Swedbank AB,31-MAR-2023,
0000946431-24-000021,108426906,APPLE INC,COM,037833100,,3018000,18302,SH,,SOLE,0,18302,0,0,Swedbank AB,31-MAR-2023,
0001068837-25-000006,109679074,APPLE INC,COM,037833100,BBG000B9XRY4,1984940381,12037237,SH,,DFND,"1,5",0,4169883,7867354,Voya Investment Management LLC,31-MAR-2023,
0001068837-25-000006,109679075,APPLE INC,COM,037833100,BBG000B9XRY4,1598796855,9695554,SH,,DFND,"1,5,3",0,1228974,8466580,Voya Investment Management LLC,31-MAR-2023,
0001068837-25-000006,109679076,APPLE INC,COM,037833100,BBG000B9XRY4,72409734,439113,SH,,DFND,"2,1,5",0,439113,0,Voya Investment Management LLC,31-MAR-2023,
